StaffID,FullName,Gender,Role,Phone,Email,Salary,JoiningDate
1,Aldridge MacKenney,Male,Housekeeping,4134965037,amackenney0@ibm.com,15538,03-05-2023
2,Sigismundo Bloxsom,Male,Housekeeping,3767529258,sbloxsom1@gravatar.com,19012,17-04-2022
3,Frannie Glanz,Female,Housekeeping,8767817883,fglanz2@fc2.com,22543,28-02-2023
4,Dianne Brouard,Male,Receptionist,3796918669,dbrouard3@list-manage.com,31793,30-01-2023
5,Lyn Adamovitz,Other,Housekeeping,7639081285,ladamovitz4@buzzfeed.com,22519,18-04-2022
6,Wilmer Tatham,Female,Housekeeping,2173219369,wtatham5@godaddy.com,24494,04-06-2022
7,Land Galland,Male,Housekeeping,8815528341,lgalland6@dmoz.org,23132,05-01-2022
8,Morgan Kleinsinger,Male,Receptionist,8549661010,mkleinsinger7@hao123.com,30812,15-03-2022
9,Matthew Edgeson,Male,Housekeeping,4292509046,medgeson8@vimeo.com,20658,14-12-2022
10,Rudiger Bethune,Male,Housekeeping,6605826041,rbethune9@japanpost.jp,16300,29-07-2023
11,Kain Duesberry,Female,Receptionist,9928913315,kduesberrya@foxnews.com,32273,21-01-2023
12,Nari Musprat,Female,Housekeeping,3176576524,nmuspratb@about.com,20106,29-06-2022
13,Randall Reddan,Female,Receptionist,5936237241,rreddanc@indiegogo.com,27577,08-10-2022
14,Augy Kopecka,Male,Manager,2218924885,akopeckad@instagram.com,56261,16-09-2022
15,Kliment Burdon,Female,Receptionist,8459443819,kburdone@squarespace.com,32581,07-04-2023
16,Libby Veare,Other,Housekeeping,3172846833,lvearef@1688.com,17234,14-08-2022
17,Calvin Nathan,Female,Receptionist,8683802283,cnathang@photobucket.com,26385,12-03-2022
18,Kylynn Greeves,Female,Housekeeping,9486019701,kgreevesh@nyu.edu,21464,26-07-2022
19,Jacquelyn Stoltz,Female,Receptionist,4182652999,jstoltzi@163.com,31749,08-09-2022
20,Theresa Hallatt,Male,Housekeeping,5134833405,thallattj@nyu.edu,19292,26-09-2023
21,Jayme McCowen,Female,Housekeeping,9576670573,jmccowenk@paginegialle.it,19972,14-09-2023
22,Garvin Tilne,Male,Housekeeping,7505161285,gtilnel@salon.com,19413,26-04-2022
23,Armando Marklew,Female,Receptionist,9923438376,amarklewm@ebay.com,31332,12-09-2023
24,Maud Tweed,Female,Receptionist,4281504395,mtweedn@qq.com,32858,17-03-2023
25,Joelynn Farrand,Female,Housekeeping,5636898055,jfarrando@sohu.com,22166,22-08-2022
26,Gracia Dilks,Female,Receptionist,5913810496,gdilksp@intel.com,29862,14-12-2022
27,Burnaby Slocket,Male,Housekeeping,3863747490,bslocketq@cnn.com,16051,26-10-2023
28,Nadean MacEllen,Female,Housekeeping,7862739843,nmacellenr@elegantthemes.com,21747,14-07-2022
29,Seymour Callicott,Female,Receptionist,4537636850,scallicotts@marriott.com,26743,30-08-2022
30,Gerda Skeffington,Female,Receptionist,4109619375,gskeffingtont@go.com,31437,25-09-2022
31,Carey Vittery,Male,Receptionist,3669299582,cvitteryu@howstuffworks.com,29919,16-10-2023
32,Trumann Geare,Male,Housekeeping,1347909498,tgearev@spiegel.de,15923,18-03-2023
33,Leslie Dood,Female,Housekeeping,4729151032,ldoodw@ted.com,15557,03-01-2023
34,D'arcy Gavriel,Female,Housekeeping,4423879781,dgavrielx@github.io,24167,11-07-2022
35,Othelia Batha,Male,Housekeeping,8429648599,obathay@godaddy.com,18425,15-04-2023
36,Beatrice Aiston,Male,Housekeeping,5069225919,baistonz@independent.co.uk,16245,19-02-2022
37,Gloria Burles,Male,Housekeeping,5252740184,gburles10@patch.com,20034,09-12-2023
38,Alfie Costar,Female,Manager,7883294481,acostar11@shareasale.com,62950,10-11-2023
39,Denyse Plain,Female,Housekeeping,3414767565,dplain12@stumbleupon.com,15866,03-01-2023
40,Meghan Mabon,Female,Housekeeping,1421959452,mmabon13@seesaa.net,16534,07-04-2023
41,Roanna Pirson,Male,Receptionist,8832482392,rpirson14@alexa.com,33712,14-02-2023
42,Terza Vears,Female,Receptionist,7071013184,tvears15@storify.com,34232,04-08-2022
43,Elfrida Plomer,Male,Housekeeping,9348359281,eplomer16@de.vu,21820,17-06-2022
44,Cindra Mulqueeny,Other,Receptionist,5918936563,cmulqueeny17@diigo.com,27335,06-01-2022
45,Marie-jeanne Chagg,Male,Receptionist,7908322628,mchagg18@hexun.com,27813,17-07-2023
46,Evania Bewly,Other,Receptionist,4373281654,ebewly19@vinaora.com,31317,30-05-2023
47,Gabbey Abarough,Male,Housekeeping,9797680080,gabarough1a@woothemes.com,24556,04-05-2023
48,Miriam O'Reilly,Male,Receptionist,8269817661,moreilly1b@ucla.edu,29741,31-08-2022
49,Vivianna Courtenay,Male,Housekeeping,8122582604,vcourtenay1c@ustream.tv,16960,06-10-2023
50,Ferne Hundell,Male,Receptionist,1198297923,fhundell1d@tinyurl.com,30562,16-08-2023
51,Demetri Coles,Other,Housekeeping,9747019504,dcoles1e@icq.com,17099,06-06-2023
52,Dorree Oager,Female,Receptionist,3887842680,doager1f@shop-pro.jp,31980,25-12-2023
53,Maynord Burrass,Male,Housekeeping,8879812489,mburrass1g@army.mil,24986,08-07-2023
54,Suellen Posten,Male,Receptionist,7367346553,sposten1h@salon.com,32820,22-10-2022
55,Antonella Skerm,Male,Manager,3527222732,askerm1i@netlog.com,59508,18-09-2023
56,Katlin Errichelli,Female,Housekeeping,1403793386,kerrichelli1j@huffingtonpost.com,24234,26-03-2023
57,Nobe Hollyland,Male,Receptionist,4318048617,nhollyland1k@aol.com,27201,21-03-2023
58,Bartholemy Bache,Male,Receptionist,1016778229,bbache1l@paginegialle.it,28156,13-08-2023
59,Horatius Wolvey,Female,Receptionist,6799669782,hwolvey1m@parallels.com,26783,11-12-2023
60,Teodorico Crosio,Male,Housekeeping,9297307077,tcrosio1n@livejournal.com,18349,15-03-2022
61,Ely Owttrim,Male,Housekeeping,6556357047,eowttrim1o@ucsd.edu,15317,19-08-2022
62,Saxe Bramont,Male,Manager,7695766510,sbramont1p@e-recht24.de,66907,20-04-2023
63,Sammy Sillis,Male,Receptionist,6865553130,ssillis1q@pagesperso-orange.fr,29705,25-07-2023
64,Kermie Duddridge,Female,Receptionist,9478465437,kduddridge1r@ebay.co.uk,34998,03-01-2022
65,Sauncho Reach,Male,Housekeeping,8147728502,sreach1s@uiuc.edu,24050,14-01-2022
66,Iorgos Moden,Male,Receptionist,8211467181,imoden1t@themeforest.net,25533,19-10-2023
67,Valina Giraldon,Female,Housekeeping,1112904520,vgiraldon1u@smh.com.au,24760,19-06-2023
68,Mariel Effemy,Male,Housekeeping,5719913804,meffemy1v@sina.com.cn,22403,24-10-2022
69,Bessy Link,Male,Housekeeping,2047201433,blink1w@examiner.com,19186,09-03-2022
70,Fairleigh Coultous,Female,Receptionist,8555611876,fcoultous1x@skyrock.com,27405,02-01-2023
71,Ardisj Vibert,Female,Receptionist,6377062008,avibert1y@google.ru,29677,22-10-2023
72,Row Lubeck,Male,Receptionist,5375113854,rlubeck1z@skyrock.com,30944,19-09-2022
73,Willow Stickler,Male,Housekeeping,5921165393,wstickler20@photobucket.com,16629,08-02-2023
74,Fleur Couves,Male,Housekeeping,7044500080,fcouves21@adobe.com,20010,27-10-2023
75,Angelique Nafzger,Male,Housekeeping,3581140686,anafzger22@google.de,16909,06-05-2023
76,Belita Ogdahl,Male,Receptionist,2377605227,bogdahl23@photobucket.com,34166,05-10-2023
77,Gordon Letixier,Other,Receptionist,7793850440,gletixier24@google.pl,34651,06-12-2023
78,Astrid Gildea,Female,Receptionist,9066676107,agildea25@mapy.cz,31230,10-06-2023
79,Melanie Hurley,Female,Housekeeping,3676219814,mhurley26@163.com,17018,17-10-2022
80,Dara Grishelyov,Female,Manager,3594640743,dgrishelyov27@foxnews.com,60074,11-05-2022
81,Eugene Issacson,Female,Housekeeping,4751646133,eissacson28@tripod.com,18779,10-12-2023
82,Mead Hancell,Male,Manager,2695213731,mhancell29@usda.gov,66001,24-08-2022
83,Wyatt Capnor,Female,Manager,9591866813,wcapnor2a@wix.com,55610,31-12-2022
84,Twyla Marsden,Male,Housekeeping,1959151013,tmarsden2b@cisco.com,24086,09-06-2022
85,Jeri Hurles,Male,Housekeeping,9391051080,jhurles2c@google.co.jp,18237,11-11-2023
86,Bridie Lisett,Female,Housekeeping,6772507300,blisett2d@lycos.com,21545,29-07-2022
87,April Percy,Male,Receptionist,3875449844,apercy2e@merriam-webster.com,25735,28-08-2022
88,Vitia Petrovykh,Female,Receptionist,2771416724,vpetrovykh2f@constantcontact.com,30383,03-11-2022
89,Charles Walbrook,Female,Housekeeping,9652975494,cwalbrook2g@gmpg.org,19680,22-12-2022
90,Dall Newborn,Male,Manager,7392932534,dnewborn2h@bloglovin.com,65197,24-10-2023
91,Ame Kuschel,Female,Housekeeping,5922336433,akuschel2i@wunderground.com,23194,01-10-2023
92,Dudley Ruppertz,Female,Housekeeping,6966989942,druppertz2j@eepurl.com,23285,31-07-2023
93,Fleurette Whates,Female,Housekeeping,7368376922,fwhates2k@hhs.gov,17677,26-09-2022
94,Ethel Pagelsen,Male,Housekeeping,9848300887,epagelsen2l@netlog.com,23993,06-09-2023
95,Odette Timewell,Male,Receptionist,7849125953,otimewell2m@about.me,29549,22-07-2022
96,Roselle Scrannage,Male,Receptionist,8074887584,rscrannage2n@fotki.com,25838,26-08-2023
97,Harry Heggison,Male,Housekeeping,2956001302,hheggison2o@goo.ne.jp,22031,31-01-2022
98,Evangelina Hopkyns,Female,Housekeeping,4563442293,ehopkyns2p@yahoo.co.jp,20263,06-04-2023
99,Gianna Bouchier,Female,Housekeeping,1235556528,gbouchier2q@ask.com,22198,20-01-2023
100,Yul Ortells,Female,Housekeeping,4179497823,yortells2r@phoca.cz,19816,06-12-2023
101,Ferrell Tweedell,Female,Housekeeping,3897753194,ftweedell2s@sitemeter.com,24550,13-10-2022
102,Melessa Nisard,Male,Housekeeping,2833936737,mnisard2t@cam.ac.uk,24112,05-02-2022
103,Celisse Greatham,Male,Manager,3453946543,cgreatham2u@amazonaws.com,61546,11-01-2023
104,Erinn Skipworth,Male,Housekeeping,7393635325,eskipworth2v@privacy.gov.au,15781,10-01-2022
105,Yardley Villaron,Female,Manager,7885785238,yvillaron2w@yellowpages.com,54768,04-05-2023
106,Jacquenette Owbridge,Male,Housekeeping,4526136488,jowbridge2x@paginegialle.it,15838,24-12-2022
107,Katuscha Fathers,Male,Receptionist,6125884436,kfathers2y@netscape.com,30350,13-11-2022
108,Ezechiel Gaskin,Female,Housekeeping,9828562526,egaskin2z@diigo.com,17217,11-04-2022
